Material_Name,Curie,Neel,Curie_Weiss,Crystal_Structure,Lattice_Structure,Lattice_Parameters,Space_Group,Coercivity,Magnetic_Moment,Magnetization,Remanence,Susceptibility,DOI,Experimental
CoRe2O6,42.5,,-18.9 K,Orthorhombic,Rutile-like,"{'a': '9.4176 Å', 'b': '5.7161 Å', 'c': '4.73808 Å'}",F 222,50 G,2.74 μB,,,0 Gg/emu,10.1016/j.jssc.2008.11.001,True
CoRe2O6,22.25,,-17.4 K,Tetragonal,Rutile,"{'a': '4.7414 Å', 'c': '2.84731 Å'}",P42/mnm,,2.06 μB,,,0 Gg/emu,10.1016/j.jssc.2008.11.001,True
NiRe2O6,24.0,,-18.5 K,Monoclinic,Rutile-like,"{'a': '9.3672 Å', 'b': '5.72651 Å', 'c': '4.72076 Å'}",C 2/m,,2.00 μB,,,0 Gg/emu,10.1016/j.jssc.2008.11.001,True
NiRe2O6,23.5,,-4.1 K,Tetragonal,Rutile,"{'a': '4.7313 Å', 'c': '2.84552 Å'}",P42/mnm,,1.59 μB,,,5.0 x 10^6 Gg/emu,10.1016/j.jssc.2008.11.001,True
FeRuP,184.0,,,,,,,,,,,,10.1016/S0925-8388(00)01344-X,
CoRhP,,11.0,,Orthorhombic TiNiSi-type,,"{'a': '5.791 Å', 'b': '3.640 Å', 'c': '6.801 Å'}",Pnma,,,,,,10.1016/S0925-8388(00)01344-X,True
CoRuFeSi,867.0,,,Y-type,Cubic,{'a': '5.773 Å'},,,"4.8 μB/f.u. at 5 K, 4.6 μB/f.u. at 300 K",,,,10.1016/j.jallcom.2015.08.150,True
CoRuFeGe,833.0,,,Y-type,Cubic,{'a': '5.866 Å'},,,"5 μB/f.u. at 5 K, 4.7 μB/f.u. at 300 K",,,,10.1016/j.jallcom.2015.08.150,True
CoFeMnGe,750.0,,,,,,,,,,,,10.1016/j.jallcom.2015.08.150,False
CoRuVAl,285.0,,,LiMgPdSb (Y-type),Cubic,{'a': '5.90 Å'},F-43m (#216),,1 μB,,,,10.1016/j.physb.2022.414370,False
CoS2,122.0,,,Cubic,FCC,,,,"0.85 μB (saturation), 1.76 μB (paramagnetic)",,,,10.1016/j.physb.2005.01.350,True
CoSb,,,"-1.07 K (H // ab), -1.22 K (H // c)",Hexagonal NiAs-type,Hexagonal,{'c': '5.171 Å'},,,0.04 μB/Co,,,"1.43 x 10^-3 cm^3/mol (H // ab), 1.27 x 10^-3 cm^3/mol (H // c)",10.1016/j.jallcom.2023.172653,True
MnSb,587.0,,,,,,,,,,,,10.1016/j.jallcom.2023.172653,False
CoSb2O3Br2,,9.0,-44.0 K,Triclinic,,"{'a': '5.306 Å', 'b': '7.812 Å', 'c': '8.0626 Å'}",P−1,,3.95 μ_Bohr,,,,10.1016/j.jssc.2008.07.005,True
CoSb2O6,,,-17.8 K,Tri-rutile,,,,,4.66 μB,,,,10.1016/S0921-4526(99)00944-8,True
FeTa2O6,,8.5,,,,,,,,,,,10.1016/S0921-4526(99)00944-8,False
CoSe2O5,,8.5,"{'Value': '-15 K, -16 K, -62 K', 'Direction': '[100], [010], [001]'}",Orthorhombic,Pbcn,"{'a': '6.806 Å', 'b': '10.375 Å', 'c': '6.050 Å'}",Pbcn,,3.0 μB per Co cation,,,,10.1016/j.jssc.2015.09.006,True
CoTa2O6,,6.6,-29.6 K,Trirutile,Tetragonal,"{'a': '4.715', 'c': '9.128'}",P 4 2 / m n m,,4.68 μB per Co ion,,,,10.1016/j.jallcom.2009.10.241,True
CoV2O6,,15.0,42.1 K,Monoclinic,Brannerite-type,"{'a': '9.2531 Å', 'b': '3.5040 Å', 'c': '6.6201 Å'}",C2/m,,4.77 μB at 4 K,,,,10.1016/j.jssc.2012.04.029,True
CoVMnAl,48.0,,,L21b-type,Cubic,{'a': '0.5801 nm'},225,,0.15 μB/f.u.,,,,10.1016/j.jallcom.2020.157389,True
Mn1.0Co0.99V1.0Al1.01,105.0,,,,,,,,0.071 μB/f.u.,,,,10.1016/j.jallcom.2020.157389,True
CoVSb,20.0,,,C1b,,,,,,,,,10.1016/j.physb.2005.01.337,True
CoZrVAl,728.0,,,Cubic,Fm-3m,{'a': '6.2593 Å'},F-43m,,3.00 μB,,,,10.1016/j.physb.2021.413524,False
CoZrVGa,736.0,,,Cubic,Fm-3m,{'a': '6.2377 Å'},F-43m,,3.00 μB,,,,10.1016/j.physb.2021.413524,False
CoZrVIn,795.0,,,Cubic,Fm-3m,{'a': '6.4513 Å'},F-43m,,2.99 μB,,,,10.1016/j.physb.2021.413524,False
CoZrVSn,460.0,,,Cubic,Fm-3m,{'a': '6.4765 Å'},F-43m,,4.00 μB,,,,10.1016/j.physb.2021.413524,False
Co20Cu80,,291.0,,"Face-centered cubic (Cu core), Monoclinic (CuO shell)",,,,"{'10 K': '-38.9 mT, 20.2 mT', '300 K': '-5.6 mT, 5.7 mT'}",,"{'10 K': '10.7 Am^2/kg', '300 K': '8.2 Am^2/kg'}",,,10.1016/j.jallcom.2005.12.048,True
Co0Fe3O4,665.0,,,Spinel,Cubic,{'a': '8.398 Å'},,,2.41 μB/f.u.,,,,10.1016/j.jallcom.2011.03.050,True
Co0.198Fe2.802O4,660.0,,,Spinel,Cubic,{'a': '8.396 Å'},,,2.25 μB/f.u.,,,,10.1016/j.jallcom.2011.03.050,True
Co0.416Fe2.584O4,639.0,,,Spinel,Cubic,{'a': '8.394 Å'},,,1.95 μB/f.u.,,,,10.1016/j.jallcom.2011.03.050,True
Co38.0Ni33.0Al29.0,280.0,,,"B2 (parent phase), L10 (martensitic phase)","Cubic (B2), Tetragonal (L10)",,,,,,,,10.1016/S1359-6454(02)00061-7,True
Co38.5Ni33.5Al28.0,398.0,,,"B2 (parent phase), L10 (martensitic phase)","Cubic (B2), Tetragonal (L10)",,,,,,,,10.1016/S1359-6454(02)00061-7,True
Hg0.92Cr0.08Se,405.5,,,Zinc Blende,Face-centered cubic,{'a': '6.5 Å'},F43m,,0.313 μB,,,,10.1016/j.physb.2019.06.013,False
Hg0.76Cr0.24Se,449.0,,,Zinc Blende,Face-centered cubic,{'a': '6.085 Å'},F43m,,0.943 μB,,,,10.1016/j.physb.2019.06.013,False
Zn0.92Cr0.08O,,11.0,,Wurtzite,Hexagonal,"{'a': '0.3256 nm', 'c': '0.5218 nm'}",P63mc,,,,,,10.1016/j.jssc.2011.03.049,True
CrI3,57.9,,,Monoclinic,Honeycomb,,C2/m,200 Oe,3.00 μB/f.u.,32 A m^2/kg,,,10.1016/j.jallcom.2022.164573,True
Cr0.5V0.5I3,55.0,,,Monoclinic,Honeycomb,,C2/m,4600 Oe,2.50 μB/f.u.,,,,10.1016/j.jallcom.2022.164573,True
CrMn0.06I3,57.8,,,Monoclinic,Honeycomb,,C2/m,,3.99 μB/f.u.,44 A m^2/kg,,,10.1016/j.jallcom.2022.164573,True
VI3,50.2,,,Monoclinic,Honeycomb,,C2/m,,,8 A m^2/kg,,,10.1016/j.jallcom.2022.164573,True
Cr0.82Mn0.18Ge,13.0,,,Cubic,B20,{'a': '4.7966 Å'},P213 (No.198),,1.87 μB,,,,10.1016/j.jallcom.2021.159057,True
Cr0.87Se,,147.0,,Monoclinic,,,C2/m,,4.11 μB,,,,10.1016/j.jallcom.2023.172080,True
Cr0.91Se,,198.0,-272.78 K,Hexagonal,,,P63/mmc,,4.68 μB,,,,10.1016/j.jallcom.2023.172080,True
Cr0.95Se,,257.0,-372.62 K,Hexagonal,,,P63/mmc,,4.84 μB,,,,10.1016/j.jallcom.2023.172080,True
Cr0.963V0.037,,275.0,,Body Centered Cubic,Cubic,,,,,,,,10.1016/j.physb.2007.10.125,True
Cr,,311.0,,Body Centered Cubic,Cubic,,,,,,,,10.1016/j.physb.2007.10.125,True
Cr2B2,,870.0,,Tetragonal,Tetragonal,"{'a': '3.06 Å', 'b': '3.06 Å'}",P4/mmm (No. 129),,3.1 μB,,,,10.1016/j.jssc.2021.122427,False
Mn2C,,720.0,,,,,,,,,,,10.1016/j.jssc.2021.122427,
Mn2Au,,1000.0,,,,,,,,,,,10.1016/j.jssc.2021.122427,True
Cr2Ge2Te6,61.0,,,Hexagonal,vdW,,,,3.00 μB per atom,,,,10.1016/j.physb.2023.415439,False
Cr5Te8,440.0,,,T' phase,Monolayer,"{'a': '3.99 Å', 'b': '6.90 Å'}",P 2/m,,"3.56 μB (top and bottom layer), 3.72 μB (middle layer)",,,,10.1016/j.jallcom.2021.162223,False
CrTe2,59.0,,,1T-phase,Monolayer,"{'a': '3.72 Å', 'b': '3.72 Å'}",P 3̅m1,,3.47 μB,,,,10.1016/j.jallcom.2021.162223,False
Cr2V4O13,,10.0,-12.7 K,Monoclinic,Monoclinic,"{'a': '8.2651', 'b': '9.2997', 'c': '14.5215'}",P21/c,,3.62 μB,,,,10.1016/j.jssc.2010.09.015,True
Cr3Al,,578.0,,BCC,Rhombohedrally-ordered BCC,{'a': '0.295 nm'},,,,,,,10.1016/j.physb.2021.413281,True
Cr3Te4,344.0,,,,,,,,,,,,10.1016/j.jallcom.2022.165289,True
Cr5Te8,160.0,,196 K,Monoclinic,,"{'a': '13.5361 Å', 'b': '7.8415 Å', 'c': '12.0032 Å'}",F2/m,,4.2 μB/Cr,,,,10.1016/j.jssc.2005.06.004,True
Cr4.5Ti0.5Te8,129.0,,149 K,Monoclinic,,"{'a': '13.4610 Å', 'b': '7.8036 Å', 'c': '12.1821 Å'}",F2/m,,4.1 μB/Cr,,,,10.1016/j.jssc.2005.06.004,True
Cr4TiTe8,74.0,,88 K,Monoclinic,,"{'a': '13.4224 Å', 'b': '7.7915 Å', 'c': '12.3490 Å'}",F2/m,,4.2 μB/Cr,,,,10.1016/j.jssc.2005.06.004,True
Cr3.5Ti1.5Te8,,29.0,61 K,Monoclinic,,"{'a': '13.4040 Å', 'b': '7.7683 Å', 'c': '12.4440 Å'}",F2/m,,4.2 μB/Cr,,,,10.1016/j.jssc.2005.06.004,True
Cr3Ti2Te8,,,45 K,Trigonal Supercell,,,P-3m1,,,,,,10.1016/j.jssc.2005.06.004,True
Cr2Ti3Te8,,,37 K,Trigonal Supercell,,,P-3m1,,,,,,10.1016/j.jssc.2005.06.004,True
Cr0.25TiTe2,,,4 K,Trigonal Basic Cell,,,P-3m1,,,,,,10.1016/j.jssc.2005.06.004,True
Cr4PtGa17,58.0,,"66.1 K (H∕∕ab), 66.4 K (H∕∕c)",Trigonal,Breathing pyrochlore lattice with distorted Kagome planes,,R3m (No. 160),20 Oe,"0.878 μB/f.u. (H∕∕ab), 0.875 μB/f.u. (H∕∕c)",,,,10.1016/j.jallcom.2022.167946,True
CrAs,,264.0,,MnP-type,Orthorhombic,"{'a': '5.66 Å', 'b': '3.474 Å', 'c': '6.203 Å'}",,,,,,Feasible temperature dependence from 4.2 to 1000 K,10.1016/j.jallcom.2004.04.055,True
CrAs0.97P0.03,,110.0,,MnP-type,Orthorhombic,,,,,,,Feasible temperature dependence from 4.2 to 300 K,10.1016/j.jallcom.2004.04.055,True
CrAs0.95P0.05,,253.0,,MnP-type,Orthorhombic,,,,,,,,10.1016/j.jallcom.2004.04.055,True
CrAs0.98P0.02,,150.0,,MnP-type,Orthorhombic,,,,,,,,10.1016/j.jallcom.2004.04.055,False
CrAuTe4,,255.0,,Monoclinic,,"{'a': '5.4774 Å', 'b': '4.0169 Å', 'c': '7.3692 Å'}",P2/m,,3.91 μB,,,0.003756 emu/mol,10.1016/j.jssc.2004.04.029,True
CrB2,,88.0,-700 K,Hexagonal,Hexagonal,,P6/mmm,,2.1 μB/Cr,,,,10.1016/j.jcrysgro.2004.10.003,True
CrBr3,31.73,,,Rhombohedral-trigonal,Monoclinic C2/m at high temperatures,"{'a': '6.347 Å', 'c': '18.236 Å'}",R3,,,58.89 emu/g to 57.84 emu/g,,,10.1016/j.jallcom.2022.165034,True
Cr2Ge2Te6,63.6,,,,,,,,,,,,10.1016/j.jallcom.2022.165034,False
CrCl3,,14.0,,Rhombohedral,Honeycomb,"{'a': '5.942 Å', 'c': '17.333 Å'}",R-3,,,,,,10.1016/j.actamat.2022.118390,True
CrCoNi,4.0,,,FCC,,{'a': '3.5590'},,,,,,,10.1016/j.actamat.2018.02.037,True
CrCoNiFe,120.0,,,FCC,,{'a': '3.5715'},,,,,,,10.1016/j.actamat.2018.02.037,True
CrCoNiFeMn,20.0,,,FCC,,{'a': '3.5991'},,,,,,,10.1016/j.actamat.2018.02.037,True
Cr25.2Fe24.8Ni25.5Mn24.5,205.0,,,FCC with small amount of BCC,FCC,{'a': '3.617 Å'},,,,100 Am^2/kg at 10 K,,,10.1016/j.jallcom.2020.154142,True
CrNi6,6.0,,,Ordered lattice,,{'a': '15.68 Å'},,,,,,,10.1016/S0921-4526(00)00271-4,True
CrMn6,10.0,,,Amorphous,,,,,,,,,10.1016/S0921-4526(00)00271-4,True
Cr15Ni25,175.0,,,fcc,,,,,,,,,10.1016/S1359-6454(00)00192-0,True
CrO2,395.0,,,Tetragonal,Rutile,"{'a': '0.4574 nm', 'c': '0.2699 nm'}",,2.30 kA/m,2 μB per formula unit,71 × 10^3 A/m,,,10.1016/j.tsf.2018.03.093,True
CrSI,846.0,,,Orthorhombic,,"{'a': '3.738 Å', 'b': '4.779 Å'}",Pmmn,,3.000 μB,,,,10.1016/j.jallcom.2022.164797,False
CrSbVO6,,,-24.01 K,Rutile,Tetragonal,,P42/mnm,,,,,,10.1016/j.jnoncrysol.2008.06.095,True
CrTe2,315.0,,,,,,,,,,,,10.1016/j.physb.2021.413579,True
Rb2FeGe3S8,,10.77,,Monoclinic,2D Layered,"{'a': '7.2355 Å', 'b': '16.8797 Å', 'c': '12.2057 Å'}",P21/c,,,,,,10.1016/j.jssc.2022.123276,True
Cs2FeGe3S8,,8.64,,Monoclinic,2D Layered,"{'a': '7.3020 Å', 'b': '17.0383 Å', 'c': '12.5860 Å'}",P21/c,,,,,,10.1016/j.jssc.2022.123276,True
K2FeGe3Se8,,8.1,,,2D Layered,,,,,,,,10.1016/j.jssc.2022.123276,False
K2MnGe3S8,,10.0,,,2D Layered,,,,,,,,10.1016/j.jssc.2022.123276,False
MnBi4S7,,31.0,,,2D Layered,,,,,,,,10.1016/j.jssc.2022.123276,False
FeBi4S7,,67.0,,,2D Layered,,,,,,,,10.1016/j.jssc.2022.123276,False
Cs4Ca0.7Mn3.3Cl12,,0.7,-105 K,Hexagonal,Rhombohedral,"{'a': '7.36213 Å', 'c': '36.6239 Å'}",R-3m,,6.5 μB,,,,10.1016/j.jssc.2023.124095,True
CsMnCl3,,67.0,,Hexagonal,Rhombohedral,,R-3m,,,,,,10.1016/j.jssc.2023.124095,True
CsFe2F6,,13.7,-260 K,Orthorhombic,Pnma,,Pnma,,7.7 μB/f.u.,,,,10.1016/j.jssc.2016.02.045,True
CsAgCoS2,,82.0,,Orthorhombic,,"{'a': '5.9665', 'b': '5.844', 'c': '13.8500'}",Acmm,,,,,,10.1016/j.jssc.2019.121134,True
KMg4Mn6O15,171.0,,188 K,Cubic,Cubic,{'a': '8.3034 Å'},Im 3̄ m,< 1 Oe,3.5 μB/Mn,,,,10.1016/j.jssc.2017.02.003,True
RbMg4Mn6O15,171.0,,188 K,Cubic,Cubic,{'a': '8.3049 Å'},Im 3̄ m,,3.35 μB/Mn,,,,10.1016/j.jssc.2017.02.003,True
CsMg4Mn6O15,165.0,,186 K,Cubic,Cubic,{'a': '8.3476 Å'},Im 3̄ m,,3.40 μB/Mn,,,,10.1016/j.jssc.2017.02.003,True
Cu0.15Fe1.7PS3,,109.0,,Monoclinic,Monoclinic,"{'a': '5.977 Å', 'b': '10.304 Å', 'c': '6.724 Å'}",,,,,,,10.1016/j.jallcom.2015.07.261,True
FePS3,,123.0,,Monoclinic,Monoclinic,"{'a': '5.934 Å', 'b': '10.28 Å', 'c': '6.772 Å'}",,,,,,,10.1016/j.jallcom.2015.07.261,False
Cu2EuSiS4,,,-4.0,Trigonal,,"{'a': '6.0576', 'c': '15.1007'}",P3121,,,,,,10.1016/j.jssc.2018.09.030,True
Cu2EuGeS4,,,-0.5,Trigonal,,"{'a': '6.1189', 'c': '15.2582'}",P3221,,,,,,10.1016/j.jssc.2018.09.030,True
Cu2EuGeSe4,,,-4.6,Orthorhombic,,"{'a': '10.7843', 'b': '10.6606', 'c': '6.5360'}",Ama2,,,,,,10.1016/j.jssc.2018.09.030,True
Cu2F5,6.8,,,Inverse Spinel,Cubic,,,,,,,,10.1016/j.physb.2023.414698,False
Cu2Mn0.4Co0.6SnS4,,7.7,-72 K,Tetragonal,Kësterite-type,"{'a': '5.4288 Å', 'c': '10.911 Å'}",I4̄ (no. 82),,5.07 μB,,,,10.1016/j.jssc.2012.10.026,True
Cu2Mn0.5Fe0.5Al,,,175 K,L21,Cubic,{'a': '5.855 Å'},,1.7 kOe,,,,,10.1016/j.jallcom.2018.10.327,True
CuMn3As2,,550.0,,Orthorhombic,Orthorhombic,"{'a': '1.3153 nm', 'b': '0.3854 nm', 'c': '0.7357 nm'}",Pnma (62),,,,,,10.1016/j.jallcom.2015.07.208,True
Cu2Mn4As3,,315.0,,Orthorhombic,Orthorhombic,"{'a': '1.3124 nm', 'b': '0.3849 nm', 'c': '0.7336 nm'}",Pnma (62),,,,,,10.1016/j.jallcom.2015.07.208,True
CuMnAs,,400.0,,Orthorhombic,Orthorhombic,"{'a': '0.6577 nm', 'b': '0.384 nm', 'c': '0.73096 nm'}",,,,,,,10.1016/j.jallcom.2015.07.208,False
Cu2NiB2O6,,15.0,-36.8 K,,,"{'a': '3.205 Å', 'b': '14.838 Å', 'c': '9.064 Å'}",,,3.44 μB,,,,10.1016/j.jssc.2006.08.034,True
Fe2OBO3,,155.0,,,,,,,,,,,10.1016/j.jssc.2006.08.034,
Mn2OBO3,,26.0,,,,,,,,,,,10.1016/j.jssc.2006.08.034,
Cu2OSeO3,60.0,,68.87 K,Cubic,P 21 3,{'a': '8.920 Å'},P 21 3,,1.073 μB/f.u. at 3 K,,,,10.1016/j.jallcom.2021.161198,True
Cu2V2O7,35.0,,-66 K,Orthorhombic,,"{'a': '20.6 Å', 'b': '8.18 Å', 'c': '6.44 Å'}",Fdd2,,1.9 μB,0.04 μB,,,10.1016/S0921-4526(99)02702-7,True
Cu3B2O6,,10.0,,,,,,,,,,,10.1016/S0921-4526(02)02597-8,True
Cu3Nb2O8,,26.2,,Triclinic,,"{'a': '5.1725 Å', 'b': '5.4774 Å', 'c': '6.0042 Å'}",P -1,,,,,,10.1016/j.jcrysgro.2017.07.004,True
Au70Fe30,415.0,,,fcc,,,,,,,,,10.1016/j.jallcom.2015.04.004,True
Cu70Fe30,380.0,,,f.c.c.,,,,,,,,,10.1016/S0925-8388(01)01301-9,True
CuB2O4,,20.0,,,Tetragonal,,,,"0.9 μB (Cage at 10 K), 0.5 μB (Chain at 1.5 K)",,,,10.1016/j.physb.2006.01.540,True
CuCo2S4,,23.0,-300 K,,,,,,,,,,10.1016/S0921-4526(99)02040-2,True
CuCrO2,,24.0,-213K,Delafossite,R-3m,,R-3m,,3.80 μB,,,,10.1016/j.jssc.2013.04.003,True
CuCr0.9V0.1O2,,,-210K,Delafossite,R-3m,,R-3m,,3.77 μB,,,,10.1016/j.jssc.2013.04.003,True
CuCr0.8V0.2O2,,12.0,-207K,Delafossite,R-3m,,R-3m,,3.70 μB,,,,10.1016/j.jssc.2013.04.003,True
CuCr0.7V0.3O2,,,-180K,Delafossite,R-3m,,R-3m,,3.56 μB,,,,10.1016/j.jssc.2013.04.003,True
CuCr0.6V0.4O2,,,-161K,Delafossite,R-3m,,R-3m,,3.34 μB,,,,10.1016/j.jssc.2013.04.003,True
CuCr0.5V0.5O2,,,-149K,Delafossite,R-3m,,R-3m,,3.13 μB,,,,10.1016/j.jssc.2013.04.003,True
CuCrO2,,24.0,,Delafossite,Trigonal,"{'a': '2.97267 Å', 'c': '17.0897 Å'}",R-3m,,3.88 μB,,,,10.1016/j.jallcom.2018.09.132,True
CuCr0.95Mn0.05O2,107.0,,-181 K,Delafossite,Trigonal,"{'a': '2.97429 Å', 'c': '17.0822 Å'}",R-3m,,3.87 μB,,,,10.1016/j.jallcom.2018.09.132,True
CuCr0.9Mn0.1O2,104.0,,-121 K,Delafossite,Trigonal,"{'a': '2.97611 Å', 'c': '17.0774 Å'}",R-3m,,3.71 μB,,,,10.1016/j.jallcom.2018.09.132,True
CuCr0.8Mn0.2O2,100.0,,-138 K,Delafossite,Trigonal,"{'a': '2.98004 Å', 'c': '17.0722 Å'}",R-3m,,3.80 μB,,,,10.1016/j.jallcom.2018.09.132,True
CuCrO2,,25.0,175 K,Rhombohedral,Triangular lattice,,R-3m,,3.72 μB,,,,10.1016/j.physb.2008.11.116,True
CuCr0.97Mg0.03O2,,25.0,125.7 K,Rhombohedral,Triangular lattice,,R-3m,,3.68 μB,,,,10.1016/j.physb.2008.11.116,True
CuCr1.6Sb0.4S4,,,318 K,Spinel,Cubic,{'a': '9.9680 Å'},,,,,,,10.1016/S0925-8388(01)00886-6,True
CuCr1.5Sb0.5S4,,,-156 K,Spinel,Cubic,,,,,,,,10.1016/S0925-8388(01)00886-6,False
CuCr2Te4,326.0,,+357 K,Spinel-type,Cubic,{'a': '11.134 Å'},Fd-3m (No. 227),,4.14 μB/Cr-ion,2.85×10^4 emu mol-f.u.^-1,,,10.1016/j.jssc.2005.10.007,True
CuCrFeTiNi,50.0,,,bcc,,,Im3m,16 kA/m,0.7–0.8 μB at 5 K,,,,10.1016/j.jallcom.2019.152611,True
CuCr2S4,377.0,,,Cubic,Spinel,,Fd-3m,,,,,,10.1016/j.jallcom.2014.01.222,True
CuCr2S4,377.0,,,Cubic,Spinel,{'a': '10.200 Å'},,,,,,,10.1016/j.physb.2005.01.349,True
CuCrZrS4,60.0,,,Cubic,Spinel,{'a': '10.200 Å'},,,,,,,10.1016/j.physb.2005.01.349,True
CuFeO2,,14.0,104.1 K,Delafossite,Hexagonal,"{'a': '3.03 Å', 'c': '17.09 Å'}",R-3m,,,,,,10.1016/j.jssc.2014.07.028,True
CuFe0.97Ga0.03O2,,14.0,96.1 K,Delafossite,Hexagonal,,R-3m,,,,,,10.1016/j.jssc.2014.07.028,True
CuFe0.95Ga0.05O2,,13.8,88.9 K,Delafossite,Hexagonal,,R-3m,,,,,,10.1016/j.jssc.2014.07.028,True
CuFe2S3,,,-20.86 K,Cubic,Cubic close-packed,{'a': '5.296 Å'},F4̄3m,,2.8–3.0 μB per formula unit,,,,10.1016/j.jssc.2014.10.006,True
CuFeS2,,825.0,,Tetragonal,,,,,,,,,10.1016/j.jssc.2014.10.006,False
CuFePd6,250.0,,,Face-centered cubic (fcc),A1-type,{'a': '3.845 Å'},,Small,2.1 μB,,,,10.1016/j.jallcom.2009.01.032,True
CuFeS2,,823.0,,"Tetragonal (below 800 K), Cubic (above 800 K)","Tetragonal (below 800 K), Cubic (above 800 K)","{'a': '5.2893 Å (293 K), 5.3160 Å (748 K), 5.3341 Å (823 K)', 'c': '10.4278 Å (293 K), 10.4721 Å (748 K), NA (823 K)'}","I4̄2d (Tetragonal), F4̄3m (Cubic)",,"3.67 μB (293 K), 2.48 μB (748 K)",,,,10.1016/j.jssc.2011.06.036,True
Cu1.02Mn0.99As0.99,,507.0,,Tetragonal,,"{'a': '0.37971 nm', 'b': '0.37971 nm', 'c': '0.6346 nm'}",P4/nmm,,,,,,10.1016/j.jallcom.2018.08.199,True
CuS2,23.0,,,Pyrite-type,,,,,1.35×10^−3 μB/Cu,,,Curie-Weiss law for T > TC,10.1016/S0921-4526(99)02353-4,True
CuSe2,31.0,,,Pyrite-type,,,,,,,,,10.1016/S0921-4526(99)02353-4,True
CuCr1.3Ti0.7Se4,165.0,,+192 K,Cubic,Spinel,{'a': '10.4165 Å'},Fd-3m,,4.29 μB,,,,10.1016/j.jssc.2014.01.017,True
CuCr1.5Ti0.5Se4,250.0,,+275 K,Cubic,Spinel,{'a': '10.4009 Å'},Fd-3m,,4.54 μB,,,,10.1016/j.jssc.2014.01.017,True
CuCr1.7Ti0.3Se4,332.0,,+343 K,Cubic,Spinel,{'a': '10.373 Å'},Fd-3m,,4.96 μB,,,,10.1016/j.jssc.2014.01.017,True
CuFe0.3Ti1.7S4,,6.7,-43 K,Cubic,Spinel,{'a': '10.004 Å'},Fd-3m,,2.64 μB,,,,10.1016/j.jssc.2014.01.017,True
CuFe0.5Ti1.5S4,,8.7,-102 K,Cubic,Spinel,{'a': '10.019 Å'},Fd-3m,,3.51 μB,,,,10.1016/j.jssc.2014.01.017,True
CuMn0.3Ti1.7S4,,,-16.5 K,Cubic,Spinel,{'a': '10.044 Å'},Fd-3m,,3.19 μB,,,,10.1016/j.jssc.2014.01.017,True
CuCo0.3Ti1.7S4,,,~0 K,Cubic,Spinel,{'a': '9.935 Å'},Fd-3m,,0.54 μB,,,,10.1016/j.jssc.2014.01.017,True
CuCo0.5Ti1.5S4,,,-8.7 K,Cubic,Spinel,{'a': '9.898 Å'},Fd-3m,,0.58 μB,,,,10.1016/j.jssc.2014.01.017,True
CuV2O6,,44.6,-99.5 K,Triclinic,,"{'a': '9.168 Å', 'b': '3.543 Å', 'c': '6.478 Å'}",C1,,,,,,10.1016/S0921-4526(01)00597-X,True
CoV2O6,,14.41,-10 K,Monoclinic,,"{'a': '9.25 Å', 'b': '3.504 Å', 'c': '6.618 Å'}",C2/m,,,,,,10.1016/S0921-4526(01)00597-X,True
NiV2O6,,16.43,7.63 K,Triclinic,,"{'a': '7.130 Å', 'b': '4.791 Å', 'c': '8.825 Å'}",P1,,,,,,10.1016/S0921-4526(01)00597-X,True
Cu72.7Al19.0Mn8.3,38.0,,,,,,,905 A/m,,,,,10.1016/S1359-6454(97)00224-3,True
Cu70.5Al17.6Mn11.9,52.0,,,,,,,409 A/m,,,,,10.1016/S1359-6454(97)00224-3,True
Cu69.0Al15.0Mn16.0,69.0,,,,,,,43 A/m,,,,,10.1016/S1359-6454(97)00224-3,True
Cu67.5Al12.5Mn20.0,80.0,,,,,,,,,,,,10.1016/S1359-6454(97)00224-3,True
Cu50Ni50,574.15,,,Solid solution,,{'a': '0.3571 nm'},,212.12 Oe (as-milled),,15.30 emu/g (as-milled),2.78 emu/g (as-milled),,10.1016/j.jallcom.2007.02.139,True
Cu50Ni45Co5,613.15,,,Solid solution,,,,255.15 Oe (as-milled),,19.70 emu/g (as-milled),6.06 emu/g (as-milled),,10.1016/j.jallcom.2007.02.139,True
Cu50Ni40Co10,771.15,,,Solid solution,,,,242.42 Oe (as-milled),,21.71 emu/g (as-milled),6.38 emu/g (as-milled),,10.1016/j.jallcom.2007.02.139,True
Dy,86.0,180.0,,Hexagonal,Hexagonal close-packed,"{'a': '3.59 Å', 'b': '3.59 Å', 'c': '5.65 Å'}",P63/mmc,,,,,,10.1016/S0921-4526(00)00379-3,True
Ho,,131.0,,Hexagonal,Hexagonal close-packed,"{'a': '3.58 Å', 'b': '3.58 Å', 'c': '5.62 Å'}",P63/mmc,,,,,,10.1016/S0921-4526(00)00379-3,True
Sm0.2Sr0.8CoO2.63,350.0,,,Tetragonal,,"{'a': '7.6847 Å', 'b': '7.6847 Å', 'c': '15.427 Å'}",I4/mmm,4.52 kOe,0.05 μB/f.u,,0.0095 μB/f.u,,10.1016/j.jallcom.2020.154629,True
Gd0.2Sr0.8CoO2.63,356.0,,,Tetragonal,,"{'a': '7.6844 Å', 'b': '7.6844 Å', 'c': '15.402 Å'}",I4/mmm,2.15 kOe,1.25 μB/f.u,,0.0074 μB/f.u,,10.1016/j.jallcom.2020.154629,True
