composition,Tc_exp
CuSe2,31.0
CuSeO3,25.0
Dy,89.0
Dy(Al2Cr)4,16.0
Dy(Al2Cu)4,17.0
Dy(Al2Fe)4,122.0
Dy(AlC)3,22.0
Dy(AlCr)6,20.0
Dy(AlCu)6,3.9
Dy(AlFe)6,332.5
Dy(BRh)4,12.0
Dy(Co2B)6,155.4
Dy(Co5Mo)2,530.0
Dy(CrFe5)2,495.0
Dy(Fe3Mo)3,156.0
Dy(Fe5Mo)2,373.0
Dy(Fe5Re)2,415.0
Dy(Fe5Si)2,566.0
Dy(FeGe)6,7.5
Dy(FeP3)4,7.0
Dy(FeSn)6,14.0
Dy(GaFe)6,500.0
Dy(HO)3,3.5
Dy(MnAl)6,6.0
Dy(MnAl2)4,19.0
Dy(MnGe)2,43.5
Dy(MnSi)2,48.225
Dy(MnSn)6,403.5
Dy(P3Os)4,2.0
Dy(SiPt)2,3.0
Dy(SiRu)2,29.0
Dy(VCo5)2,442.0
Dy(VFe5)2,540.0
Dy(Zn10Fe)2,50.0
Dy0.01Fe2Co0.99O4,695.65
Dy0.01Mn0.3Zn0.4Fe1.99Ni0.3O4,535.15
Dy0.025Zn0.5Fe1.975Ni0.5O4,508.457
Dy0.02Zn0.98S1,300.0
Dy0.03Fe2Co0.97O4,699.65
Dy0.04Zn0.96S1,300.0
Dy0.05Fe2Co0.95O4,689.65
Dy0.05Tm0.95Al2,5.9
Dy0.05Zn0.8Fe1.95Co0.2O4,185.5
Dy0.15Tm0.85Al2,10.9
Dy0.1Cr1.9Ni1O4,71.0
Dy0.1Fe2Co0.9O4,513.15
Dy0.1Tm0.9Al2,8.5
Dy0.25Tm0.75Al2,15.8
Dy0.2Sc0.8Ni2,4.5
Dy0.2Y0.8Fe11Mo1,473.0
Dy0.33Fe0.67,509.0
Dy0.33Fe0.67B0.15,437.0
Dy0.3Sc0.7Ni2,5.0
Dy0.45Cu0.55,16.0
Dy0.46Au0.54,15.0
Dy0.4Ho0.6B2,28.0
Dy0.4Sc0.6Ni2,6.1
Dy0.4Y0.6Fe11Mo1,475.0
Dy0.5Ho0.5Co2,109.0
Dy0.5Sc0.5Ni2,10.2
Dy0.5Tm0.5Al2,31.2
Dy0.5Y0.5Mn1O3,4.0
Dy0.6Ho0.4Co2,113.0
Dy0.6Sc0.4Ni2,13.2
Dy0.6Y0.4Fe11Mo1,479.0
Dy0.75Tm0.25Al2,47.9
Dy0.7Er0.3Co2,106.0
Dy0.7Ho0.3Co2,120.0
Dy0.7Sc0.3Ni2,16.3
Dy0.7Y0.3,135.0
Dy0.887Th0.113,123.0
Dy0.8Er0.2Co2,119.0
Dy0.8Ho0.2B2,43.0
Dy0.8Ho0.2Co2,127.0
Dy0.8Sc0.2Ni2,17.5
Dy0.8Y0.2Fe11Mo1,485.0
Dy0.95Y0.05,65.0
Dy0.965Y0.035,71.0
Dy0.98Y0.02,79.0
Dy0.9Er0.1Co2,128.0
Dy0.9Ho0.1Co2,130.0
Dy0.9Sc0.1Ni2,19.6
Dy10Co20H33,40.0
Dy10Co30H43,18.0
Dy10Fe100Si20C3,10.2
Dy10Fe70B5H23,638.0
Dy11(InGe4)2,76.0
Dy117Co58Sn111,30.0
Dy11Er9Al40,39.3
Dy11Fe39,343.0
Dy11In9Ni4,89.5
Dy12GaFe19O48,520.0
Dy13Cd10,105.0
Dy13Er37Ni100,9.5
Dy13Fe7,45.0
Dy15(B2C7)2,120.0
Dy15Si9C,70.0
Dy17Er3Al40,54.4
Dy17Th3,119.0
Dy1Al1.5Ni3.5,12.5
Dy1C0.33,216.0
Dy1Co0.67Ni0.33C2,7.3
Dy1Co0.6Ni0.4,49.0
Dy1Co2B0.05,143.0
Dy1Co2B0.1,145.0
Dy1Co2B0.2,147.0
Dy1Co2H3.3,40.0
Dy1Co3H4.3,18.0
Dy1Co4.6Si0.4,376.0
Dy1Co5.2,970.0
Dy1Co9.5Si3.5,272.5
Dy1Cu0.5Ni4.5,11.6
Dy1Fe0.08Co1.92,175.0
Dy1Fe0.16Co1.84,219.0
Dy1Fe0.1Co1.9,699.0
Dy1Fe0.24Co1.76,265.0
Dy1Fe0.2Co1.8,714.0
Dy1Fe0.4Co0.6,625.0
Dy1Fe0.4Ni0.6,332.0
Dy1Fe0.6Co1.4,692.0
Dy1Fe1.2Co0.8,695.0
Dy1Fe1.4Co0.6,523.0
Dy1Fe1.5Co2.5B1,666.0
Dy1Fe1.6Co0.4,718.0
Dy1Fe1.9,636.15
Dy1Fe10.25Mo1.75,423.0
Dy1Fe10.5Mo1.5,449.0
Dy1Fe10.75Mo1.25,474.0
Dy1Fe11.3W0.7,533.0
Dy1Fe2.5Co1.5B1,661.0
Dy1Fe2H3.5,300.0
Dy1Fe8.5Ge3.5,870.0
Dy1Fe9.25Mo2.75,236.0
Dy1Fe9.5Mo2.5,311.0
Dy1Fe9.75Mo2.25,350.0
Dy1Ga0.666Co1.334,55.0
Dy1Ga0.85Co4.15,595.0
Dy1Ga1.45Co3.55,367.0
Dy1Ga1Fe0.5Co3.5,568.0
Dy1Ga1Fe1.5Co2.5,673.0
Dy1Ga6.1Fe5.9,485.0
Dy1Mn0.04Co1.96,164.0
Dy1Mn0.08Co1.92,174.0
Dy1Mn0.12Co1.88,192.0
Dy1Mn0.16Co1.84,204.0
Dy1Mn0.1Al0.7Fe1.2,173.0
Dy1Mn0.2Al0.6Fe1.2,181.0
Dy1Mn0.2Co1.8,220.0
Dy1Mn0.2Fe1.2Co0.6,619.0
Dy1Mn0.2Fe1.8,576.0
Dy1Mn0.4Al0.4Fe1.2,229.0
Dy1Mn0.4Fe1.6,514.0
Dy1Mn0.5Al0.3Fe1.2,245.0
Dy1Mn0.6Al0.2Fe1.2,276.0
Dy1Mn0.6Fe1.4,457.0
Dy1Mn0.7Al0.1Fe1.2,301.0
Dy1Mn0.8Fe1.2,356.25
Dy1Mn1.4Fe0.6,197.0
Dy1Mn1.5Cu0.5Ge2,79.0
Dy1Mn1.6Fe0.4,158.0
Dy1Mn1.7Cr0.3Si2C1,350.0
Dy1Mn2H4.4,265.0
Dy1Mn4.68Co1.32Sn6,139.0
Dy1Mn6Ga0.4Ge5.6,417.0
Dy1Mn6Ga0.6Ge5.4,418.0
Dy1Mn6Ga0.8Ge5.2,411.0
Dy1Si0.09B1.91,52.0
Dy1Si0.15B1.85,49.0
Dy1Ta0.5Fe11.5,543.5
Dy1Ta0.65Fe11.35,538.8
Dy1Ta0.6Fe11.4,539.5
Dy1Ta0.7Fe11.3,540.3
Dy2(Al3Co)3,13.0
Dy2.4Ho0.6Fe5O12,545.0
Dy20Fe170C27,733.0
Dy23(FeB)80,11.5
Dy25(Al2Ni23)2,42.0
Dy26Ga8Co9,28.0
Dy2Al2Co15,898.5
Dy2Al3Co,33.0
Dy2Al3Co14,727.0
Dy2Al4Co13,592.0
Dy2Al7Fe10,235.0
Dy2AlCo2,58.0
Dy2BeCo17,1147.0
Dy2CdCu2,48.3
Dy2Co12As7,128.0
Dy2Co12P7,153.0
Dy2Co17,1174.0
Dy2Co2I,64.0
Dy2Co7,640.0
Dy2Co7B3,325.0
Dy2CoSi2,139.0
Dy2CrSbO7,16.0
Dy2CuSi3,9.6
Dy2Er3Al10,32.0
Dy2Fe10Co4B,820.0
Dy2Fe12Co2B,725.0
Dy2Fe14B,592.5
Dy2Fe14B1H4.6,638.0
Dy2Fe14C,555.0
Dy2Fe14Si3,500.0
Dy2Fe17,370.0
Dy2Fe17C,515.0
Dy2Fe17C2,683.0
Dy2Fe17C2.5,681.0
Dy2Fe17C2.7,733.0
Dy2Fe17C3,674.0
Dy2Fe17H,429.0
Dy2Fe17H2,477.0
Dy2Fe17H3,518.0
Dy2Fe17H3.8,518.0
Dy2Fe17N2.5,720.0
Dy2Fe17N2.7,720.0
Dy2Fe17N2.8,725.0
Dy2Fe17N3,723.0
Dy2Fe20Mo3,415.0
Dy2Fe4H7,300.0
Dy2Fe6Co8B,976.0
Dy2Fe8Co6B,916.0
Dy2Ga2.5Ni1.5,16.1
Dy2Ga2Co15,923.0
Dy2Ga3Co14,763.0
Dy2Ga4Co13,618.0
Dy2Ga5Co12,423.0
Dy2Ga6Co11,313.0
Dy2GaCo16,1058.0
Dy2Ge2Ru,61.8
Dy2Ho2Al9,34.0
Dy2In,134.0
Dy2InCu2,49.5
Dy2Mn2O7,39.0
Dy2Mn3Si5,76.0
Dy2MnCoO6,90.0
Dy2MnNiO6,101.0
Dy2Ni17,168.0
Dy2Ni2Pb,15.0
Dy2Ni7,80.5
Dy2Pt,66.0
Dy2Si0.4Ni2.6,46.0
Dy2Si0.5Ni2.5,42.0
Dy2Si3Au,12.5
Dy2Zr7Fe87B4,308.0
Dy3(AlNi3)2,28.0
Dy3(Co2Sn)4,76.5
Dy3(ErAl5)2,49.0
Dy33.3Ho33.3Co33.4,35.0
Dy3Al2,92.25
Dy3Al2Co7,166.0
Dy3Co11B4,375.0
Dy3Co2.2Si1.8,73.5
Dy3Co29(Si2B5)2,195.0
Dy3Co7.68Si1.32,226.0
Dy3CoNi,52.0
Dy3Cr1.6Fe27.4N4,646.0
Dy3Fe22.3Co6Mo0.7,735.0
Dy3Fe5O12,558.75
Dy3In,138.0
Dy3Pd2,27.0
Dy3Rh2,18.0
Dy3Si11Pt23,15.99
Dy3SiNi8,21.0
Dy3V1.1Fe27.9,437.0
Dy3V1.3Fe27.7,449.0
Dy4Co3,55.0
Dy4CrGa12,15.0
Dy4Er,40.0
Dy4Fe34C5,681.0
Dy4YFe10,618.0
Dy5(In2Pd)2,88.0
Dy5.5Ho11Er38.5Al20Ni25,3.0
Dy507Pd193,25.0
Dy50Al11,50.0
Dy5Al9Ni,83.0
Dy5CuPb3,45.0
Dy5In3,119.0
Dy5Si3,120.0
Dy5Si3B,120.0
Dy5Si4,140.0
Dy6(MnH)23,4.2
Dy6Al(Fe3O8)3,490.0
Dy6CoTe2,125.0
Dy6Fe23,534.0
Dy6FeSb2,143.4
Dy6FeTe2,135.0
Dy6Mn23,443.0
Dy6Te2Ru,64.0
Dy7Al11Au32,9.5
Dy7Co6Sn23,7.0
Dy7Er3Al20,45.5
Dy7Fe3,108.0
Dy7Ni3,35.0
Dy7Rh3,34.0
Dy9Ho5Al6Co5,23.0
DyAl2,62.5
DyAl7Fe5,227.0
DyAlCo,47.0
DyAlCo4,548.5
DyAlCu,35.0
DyAlFe,131.875
DyAlNi,31.0
DyB2,55.0
DyB2Ru3,50.0
DyC,165.0
DyCd,80.0
DyCo,106.0
DyCo2,140.0
DyCo3,445.0
DyCo3B2,26.0
DyCo3Cu2,650.0
DyCo3Sn,82.0
DyCo4,700.0
DyCo4B,422.5
DyCo4Cu,800.0
DyCo4Si,360.0
DyCo5,969.5
DyCo9Si4,42.5
DyCoC2,9.75
DyCr2Si2C,10.7
DyCrO4,22.35
DyCu4Ag,22.0
DyCuNi4,17.6
DyEr3Al8,24.0
DyEr9Al20,16.3
DyErAl4,41.9
DyFe11Mo,490.0
DyFe2,635.0
DyFe2(Co4Mo)2,600.0
DyFe2Co2B,663.0
DyFe3,605.0
DyFe3CoB,660.0
DyFe4(Co3Mo)2,630.0
DyFe4(SiNi3)2,218.0
DyFe6(Co2Mo)2,590.0
DyFe6(SiNi2)2,541.0
DyFe7Si2Ni3,578.0
DyFe8(CoMo)2,490.0
DyFe8(SiNi)2,590.0
DyFe9Si2Ni,584.0
DyFeCo,682.0
DyFeCo3B,650.0
DyFeSi,79.5
DyFeSi2Ni9,30.0
DyGa,115.0
DyGa2FeCo2,385.0
DyGa7Co5,296.0
DyGaCo4,491.5
DyGaFeCo3,618.0
DyGaPd,20.0
DyGeRu,26.0
DyInPd,36.0
DyInPt,37.1
DyIr2,23.0
DyMg,46.0
DyMn2,38.0
DyMn4(CrSn3)2,245.0
DyMn5,430.0
DyMn5CrSn6,355.0
DyMn6(Sn2Ge)2,411.0
DyMnAl5Fe5Ge,265.0
DyMnFe,344.0
DyMnFeO5,178.0
DyMnGa,40.0
DyMnNi2,94.0
DyN,23.5
DyNbFe41B7,423.0
DyNi,59.0
DyNi2,21.8
DyNi3,69.0
DyNi4Au,23.0
DyNi5,12.95
DyOs2,16.0
DyPd3S4,0.8
DyPt,23.0
DyPt2,9.1
DyRh,3.8
DyRh2,26.0
DyRu2,30.0
DySi2Rh3,29.0
DySiNi2,17.0
DySiNi4,19.0
DySiPd2,9.0
DySiRh,25.0
DyTiCo11,1030.0
DyTiFe10Co,636.0
DyTiFe11,543.0
DyTiFe11H,600.0
DyTiFe11N,746.0
DyTiFe2Co9,1095.0
DyTiFe5Co6,1022.0
DyTiFe8Co3,820.0
DyTiGe,165.0
DyTiO3,64.0
DyVO3,112.0
DyYFe4,590.0
DyZn,139.0
DyZrSb,45.0
E2Me10VP2(HC)2,159.0
E2V0.55Co0.45H2C2N2,340.0
E2V0.83Co0.17H2C2N2,340.0
EMnH117C57NO4,20.0
Er,19.35
Er(Al2Cr)4,14.0
Er(Al2Cu)4,6.0
Er(Al2Fe)4,183.0
Er(AlC)3,14.0
Er(AlCr)6,15.0
Er(AlCu)6,2.6
Er(AlFe)6,320.0
Er(BRh)4,0.9
Er(Co2B)6,145.1
Er(Co5Mo)2,481.0
Er(Co5Si)2,719.0
Er(CrFe5)2,475.0
Er(CrSi)2,1.6
Er(Fe2Ge)2,350.0
Er(Fe5Mo)2,315.0
Er(Fe5Re)2,375.0
Er(Fe5Si)2,549.0
Er(FeGe)6,3.1
Er(FeH2)2,4.0
Er(FeP3)4,1.8
Er(FeSn)6,4.0
Er(GaFe)6,500.0
Er(Mn5Fe)2,4.0
Er(MnAl)6,2.6
Er(MnAl2)4,15.0
Er(MnFe)6,14.0
Er(MnFe2)4,203.0
Er(MnFe3)3,320.0
Er(MnGe)2,5.075
Er(MnH2)2,4.2
Er(MnH3)2,18.0
Er(MnSi)2,5.0
Er(MnSn)6,207.5
Er(SiAu)2,40.0
Er(SiPt)2,3.0
Er(SiRu)2,5.7
Er(VCo5)2,433.5
Er(VFe5)2,505.0
Er0.05Zn0.8Fe1.95Co0.2O4,185.57
Er0.07Zn0.2Fe1.93Co0.8O4,703.0
Er0.14Zn0.2Fe1.86Co0.8O4,698.0
Er0.19Fe0.66B0.15,330.0
Er0.21Zn0.2Fe1.79Co0.8O4,695.0
Er0.25Co0.75,375.0
Er0.58Au0.42,9.5
Er0.97Co2,46.0
Er0.97H0.03,24.0
Er0.9Co5.2,1123.0
Er100Al17Ni183,30.0
Er100Al197Ni3,22.0
Er10Al11Ni9,16.0
Er10Al17Ni3,28.5
Er10Al19Ni,33.0
Er10Fe100Si20C3,585.0
Er10Fe20H37,300.0
Er10Fe85C12,708.0
Er11(InGe4)2,24.0
Er12Co7,13.5
Er12CrFe19O48,520.0
Er13Co7,10.0
Er13Fe7,40.0
Er15(B2C7)2,50.0
Er19Th,80.0
Er1Co1.94Ge0.06,47.0
Er1Co1.9Si0.1,54.0
Er1Co10Si0.5Mo1.5,545.0
Er1Co10Si1.5Mo0.5,681.0
Er1Co2H3.5,25.0
Er1Co4.5Ge0.5,785.0
Er1Co5.9,1053.0
Er1Fe0.14Co1.86,85.0
Er1Fe0.24Co1.76,195.0
Er1Fe0.25Co1.75,245.0
Er1Fe0.32Co1.68,290.0
Er1Fe11.3W0.7,506.0
Er1Fe2H3.1,380.0
Er1Fe2H3.5,440.0
Er1Fe2H3.7,300.0
Er1Fe8.5Ge3.5,870.0
Er1Ga0.666Co1.334,18.5
Er1Ga6.2Fe5.8,450.0
Er1In0.06Co1.94,52.0
Er1In1.1Ni0.9,8.0
Er1In1Pd1H1.2,6.9
Er1Mn0.2Co2,168.0
Er1Mn0.3Co0.7O3,67.0
Er1Mn0.4Co0.6O3,68.0
Er1Mn0.4Co2,190.0
Er1Mn0.5Co0.5O3,69.0
Er1Mn0.67Co0.33O3,55.0
Er1Mn0.6Co0.4O3,62.0
Er1Mn0.6Co2,212.0
Er1Mn0.7Co0.3O3,55.0
Er1Mn0.8Co0.2O3,50.0
Er1Mn1.8Fe0.2,34.4
Er1Mn6Ga0.2Ge5.8,52.0
Er1Mn6Ga0.4Ge5.6,108.0
Er1Mn6Ga0.6Ge5.4,280.0
Er1Mn6Ga0.8Ge5.2,381.0
Er1Mn6In0.1Sn5.9,342.0
Er1Mn6In0.2Sn5.8,336.0
Er1Mn6In0.4Sn5.6,337.0
Er1Mn6In0.6Sn5.4,334.0
Er1Mn6In0.8Sn5.2,328.0
Er1Nb0.65Fe10.215Co1.135,628.0
Er1Nb0.65Fe11.35,507.0
Er1Nb0.65Fe6.81Co4.54,904.0
Er1Nb0.65Fe7.945Co3.405,827.0
Er1Nb0.65Fe9.08Co2.27,741.0
Er1Nb0.6Fe11.4,520.0
Er1Ni1H3.19,12.0
Er1Ni2H1.05,5.5
Er1Ta0.5Fe11.5,520.0
Er1V0.5Co10Mo1.5,440.0
Er1V1.5Co10Mo0.5,498.0
Er2(Al3Co)3,5.0
Er20Fe140B10H37,588.0
Er25(Al22Ni3)2,27.0
Er25(Al23Ni2)2,31.0
Er25Fe50H103,4.2
Er26Ga8Co9,12.0
Er2Al2Co15,903.0
Er2Al3Co14,743.0
Er2Al4Co13,681.0
Er2BeCo17,1145.0
Er2CdCu2,36.0
Er2Co,16.0
Er2Co12As7,116.0
Er2Co12P7,146.0
Er2Co17,1185.5
Er2Co4H7,25.0
Er2Co7,646.0
Er2Co7B3,320.0
Er2CoSi2,50.0
Er2CrSbO7,10.0
Er2Fe10Co4B,803.0
Er2Fe11Co3B,735.0
Er2Fe12Co2B,698.0
Er2Fe13CoB,623.0
Er2Fe14B,552.5
Er2Fe14B1H3.7,588.0
Er2Fe14C,506.25
Er2Fe17,310.0
Er2Fe17C,488.0
Er2Fe17C2,675.0
Er2Fe17C2.4,708.0
Er2Fe17C2.5,671.0
Er2Fe17C3,663.0
Er2Fe17H,378.0
Er2Fe17H2,428.0
Er2Fe17H3,476.0
Er2Fe17H3.8,498.0
Er2Fe17N2.5,693.5
Er2Fe17N2.7,695.25
Er2Fe17N3,697.0
Er2Fe20Mo3,381.0
Er2Fe4Co13,1190.0
Er2Fe4H7,357.5
Er2Fe9Co5B,840.5
Er2Ga2.5Ni1.5,4.1
Er2Ga2Co15,932.0
Er2Ga3Co14,793.0
Er2Ga4Co13,602.0
Er2Ga5Co12,396.0
Er2Ga6Co11,251.0
Er2Ga7Co10,128.0
Er2Ga8Co9,25.0
Er2GaCo16,1069.0
Er2Ge2Ru,18.8
Er2GeRh3,20.0
Er2In,46.0
Er2Mn2Co15,982.0
Er2Mn2Fe2Co13,998.0
Er2Mn2O7,35.0
Er2Mn3Si5,55.0
Er2Mn4Co13,678.0
Er2Mn6Co11,383.0
Er2MnFe3Co13,1090.0
Er2MnNiO6,84.0
Er2Ni17,166.0
Er2Ni2Pb,6.0
Er2Ni7,74.0
Er2Si0.4Ni2.6,7.0
Er2TiMnO7,25.5
Er2V1.5Co15.5,833.0
Er2Zn3,20.0
Er3(AlNi3)2,7.8
Er3(Co2Sn)4,50.0
Er3Al(FeO3)4,420.0
Er3Al2Co7,84.0
Er3AlC,4.125
Er3AlCo,10.3
Er3Co,10.4
Er3Co11B4,350.0
Er3Co2.2Si1.8,28.0
Er3Co29(Si2B5)2,188.0
Er3CoNi,15.0
Er3Cr2Fe27,401.0
Er3Cr3Fe26,390.0
Er3Cr4Fe25,356.0
Er3CrFe28,393.0
Er3Fe29,316.0
Er3Fe5O12,548.85
Er3Ge13Pt4,2.2
Er3In,51.0
Er3Nb6Fe68B23,440.0
Er3Pd2,18.0
Er3Rh2,8.0
Er3Si11Pt23,3.39
Er3VFe28,408.0
Er4CdCo,12.5
Er4Co3,25.0
Er4CrGa12,2.8
Er4Fe34C5,671.0
Er4Th,48.0
Er5(In2Pd)2,16.5
Er5(TiFe9)6,500.0
Er55(Al3Cu2)9,11.0
Er55(Al3Ni2)9,11.3
Er5Al11,11.0
Er5Bi2Pt,20.0
Er5Mn10H23,1.5
Er5Nb6Fe66B23,370.0
Er5Ni3,35.0
Er5Sb2Pt,19.0
Er5Si3B,14.0
Er5Si4,27.5
Er6(MnH)23,44.6
Er6Cd5,14.0
Er6CoBi2,16.0
Er6CoNi3,11.5
Er6CoTe2,30.5
Er6Fe23,493.0
Er6FeBi2,9.5
Er6FeSb2,13.0
Er6Mn23,415.0
Er6MnBi2,52.5
Er6MnSb2,57.5
Er7Fe3,35.0
Er7Nb6Fe65B23,340.0
Er8.6Co71.4B20,640.0
Er9Th,74.0
ErAl2,13.75
ErAl2Ni,5.0
ErAl4O3,20.0
ErAl7Fe5,218.0
ErAlAg,14.0
ErAlCo,23.5
ErAlCo4,682.0
ErAlCu,17.0
ErAlFe,56.0
ErAlGa,3.0
ErAlNi,15.5
ErAu4,5.0
ErB2Ru3,32.0
ErC,50.0
ErCd,3.3
ErCo10SiMo,545.0
ErCo2,33.6
ErCo3,415.5
ErCo3B2,20.0
ErCo3Sn,47.0
ErCo4B,387.0
ErCo4Si,350.0
ErCo5,1066.0
ErCo80B19,706.0
ErCo9Si2,415.0
ErCrO4,15.0
ErCu4Ag,8.0
ErFe2,587.0
ErFe2(Co4Mo)2,610.0
ErFe3,551.5
ErFe4(Co3Mo)2,550.0
ErFe4B,620.0
ErFe6(Co2Mo)2,510.0
ErFe8(CoMo)2,450.0
ErFeSi,22.0
ErGa,32.0
ErGa2FeCo2,320.0
ErGa7Co5,293.0
ErGaCo4,505.0
ErGaFe,77.0
ErGePd2,3.0
ErGeRu,8.0
ErInNi,9.0
ErInPd,11.65
ErInPt,15.0
ErIr2,3.0
ErMg,16.0
ErMn12,4.0
ErMn2,20.0
ErMn5,415.0
ErMn5Fe7,100.0
ErMn6(Sn2Ge)2,140.0
ErMn6GaGe5,377.0
ErMn6InSn5,307.0
ErMn7Fe5,8.0
ErMnCo2,222.0
ErN,6.25
ErNb6Fe70B23,458.0
ErNi,11.35
ErNi2,8.2
ErNi2B2C,2.3
ErNi3,64.0
ErNi4Au,24.0
ErNi4B,10.0
ErNi5,9.2
ErNiBC,5.0
ErOs2,3.4
ErPd3S4,0.65
ErPt,16.0
ErPt2,3.6
ErRh2,6.0
ErRu2,13.0
ErSi2,4.25
ErSi2Rh3,24.0
ErSiNi2,7.0
ErSiNi4,7.4
ErSiPd2,2.8
ErTiAl3Co8,760.0
ErTiAlCo10,885.0
ErTiCo11,1034.0
ErTiFe11,510.0
ErTiFe11H,574.0
ErTiFe11N,723.0
ErTiFe8Co3,796.0
ErVCo10Mo,440.0
ErVO3,108.0
ErZn,20.0
ErZrSb,11.0
Et1.12Mn0.86P1S3N0.28,40.0
Et1.2Mn0.68Cd0.17P1S3N0.3,16.0
Eu,0.0
Eu(Al2Fe)4,137.0
Eu(AlFe)6,135.0
Eu(Co7S3)10,16.0
Eu(CoP)2,67.0
Eu(CoSi)2,37.0
Eu(CrAs)2,21.0
Eu(CrS2)2,85.0
Eu(CrSe2)2,155.0
Eu(Cu2As)2,35.0
Eu(CuP)2,51.0
Eu(FeP)2,27.75
Eu(FeP3)4,99.0
Eu(FeSb3)4,88.0
Eu(GdS2)2,6.0
Eu(GeRu)2,62.0
Eu(H2N)2,5.4
Eu(InP)2,24.0
Eu(MgH3)2,27.2
Eu(MnAl2)4,20.0
Eu(MnGe)2,9.0
Eu(NbS2)2,15.0
Eu(P3Os)4,15.0
Eu(P3Ru)4,17.8
Eu(PRu)2,29.0
Eu(Sb3Os)4,9.0
Eu(Sb3Ru)4,3.3
Eu(SiAu)2,15.5
Eu0.007Cr0.089Sn0.911Te1,276.0
Eu0.015Zn0.985O1,717.0
Eu0.01Cr0.077Sn0.923Te1,275.0
Eu0.01Zn0.99O1,643.0
Eu0.02Zn0.98O1,718.0
Eu0.03Zn0.97O1,726.0
Eu0.05Mn0.8Zn0.2Fe1.95O4,630.0
Eu0.05Zn0.95O1,300.0
Eu0.1Bi1.9Se3,8.0
Eu0.1Fe2Co0.9O4,656.15
Eu0.21Bi1.79Se3,64.0
Eu0.7Mn1Pb0.3O3,235.0
Eu1.7Fe5Bi1.3O12,480.0
Eu100Si133Ag67,34.0
Eu10O9F,66.0
Eu14CdAs11,30.0
Eu14MnAs11,74.0
Eu14MnP11,52.0
Eu14MnSb11,100.0
Eu1Al2.75Zn1.25,25.0
Eu1Al2.96Si1.04,17.0
Eu1Cu1.8P2,44.0
Eu1Fe2As1.62P0.38,19.0
Eu1Mn0.5Co0.5O3,123.0
Eu1Sc0.2Ti0.8O3,3.4
Eu1Si1.33Ag0.67,34.0
Eu1Ti0.85Al0.15O3,4.0
Eu1Ti0.95Al0.05O3,4.5
Eu1Ti0.95Ni0.05O3,5.5
Eu1Ti0.96Cr0.04O3,6.2
Eu1Ti0.98Cr0.02O3,5.2
Eu1Ti0.9Al0.1O3,4.0
Eu1Ti0.9Cr0.1O3,9.7
Eu1Ti0.9Ni0.1O3,5.5
Eu1W1N1.42O1.58,20.0
Eu2(CuNi)5,59.6
Eu2.73Fe5Bi0.27O12,480.0
Eu20Ni42As31,23.0
Eu24GdO25,132.5
Eu2Co12As7,136.0
Eu2Co12P7,151.0
Eu2CrSbO7,4.0
Eu2Cu6P5,36.0
Eu2CuSi3,34.0
Eu2Fe5BiO12,480.0
Eu2H5Ir,20.0
Eu2In,55.0
Eu2Mg17,16.0
Eu2MgH6,31.6
Eu2MnCoO6,126.65
Eu2MnNiO6,145.0
Eu2Si3Pd,40.0
Eu2Si5Pt3,5.5
Eu2SiO4,7.0
Eu2Zn2P3,25.0
Eu3(BO3)2,8.0
Eu3(PO4)2,5.0
Eu3Al2O6,10.0
Eu3As2,18.0
Eu3Fe5O12,522.25
Eu3Ge11Pt23,3.6
Eu3InO,185.0
Eu3O4,42.4
Eu3S4,3.8
Eu3Si11Pt23,5.54
Eu3Si4,120.0
Eu3SiO5,19.0
Eu4As3,17.75
Eu4Ga8Ge15,34.7
Eu4MnGa7Ge15,29.9
Eu4P2.67,25.0
Eu5(InSb3)2,15.0
Eu5Al2O8,6.0
Eu7Cu44As23,17.3
Eu8Ga14.6Si6.4Ge23.2,32.8
Eu8Ga14.7Si3.7Ge26.1,34.5
Eu8Ga15.1Si7.3Ge22.7,32.6
Eu8Ga15.2Ge29.8,36.2
Eu8Ga15CoGe30,31.1
EuAg199,6.5
EuAg5,19.0
EuAl4,14.0
EuAu199,6.5
EuAu5,6.6
EuB6,15.0
EuC2,22.0
EuCu3Pd2,14.5
EuCu4Pd,24.5
EuCuP,32.0
EuDy2O4,4.175
EuH2,18.3
EuI2,5.0
EuIn2Ni9,40.0
EuIn5Ni8,2.7
EuIn6Ni7,36.0
EuLu2O4,8.5
EuMg2Cu9,25.0
EuMnO3,35.0
EuNi2,139.0
EuO,69.15
EuPd,48.0
EuPd2,82.25
EuPt2,80.0
EuS,16.535
EuScCuS3,6.4
EuSe,4.58
EuTaMn2O6,19.5
EuTiO3,4.25
EuVO3,120.0
EuY2Fe5O12,556.0
EuZnAg,29.0
EuZnAu,51.1
EuZnGa3,14.0
EuZnPt,21.2
F2,0.0
Fe,1043.0
Fe(BRh2)3,240.0
Fe(BiSe2)2,450.0
Fe(CoO2)2,531.5
Fe0.005Bi1.995Te3,5.0
Fe0.019Ge0.981,300.0
Fe0.01Ni0.99O1,300.0
Fe0.02Ni0.98O1,300.0
Fe0.02Sn0.98S1,300.0
Fe0.031Ni0.866W0.103,55.0
Fe0.04Bi1.96Te3,8.0
Fe0.04Si0.96,26.0
Fe0.04Sn0.96S1,300.0
Fe0.05Ge0.95,233.0
Fe0.05Ni0.95O1,300.0
Fe0.05Si0.95C1,270.0
Fe0.05Sn0.95O2,431.0
Fe0.069Ni0.826W0.105,191.0
Fe0.06Sn0.94S1,300.0
